author	consortium	pmid	publication_date	trait	efo	analysis	source	outcome	exposure	covariates	outcome_unit	exposure_unit	array	tissue	further_details	n	n_studies	categories	age	n_males	n_females	n_eur	n_eas	n_sas	n_afr	n_amr	n_oth	id
Morales E		27591263	2016-10-01	Smoking during pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Validation	Table 3	DNA methylation	Smoking during pregnancy	Age, social class, parity, area of study, offspring gender and technical covariates	Beta values		Bisulfite pyrosequencing	Placenta		179	1	28 smokers, 151 non-smokers	31.1		179	179						27591263_smoking_during_pregnancy_validation
Morales E		27591263	2016-10-01	Smoking during pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Validation and replication	Table 3	DNA methylation	Smoking during pregnancy	Age, social class, parity, area of study, offspring gender and technical covariates	Beta values		Bisulfite pyrosequencing	Placenta		427	1	68 smokers, 359 non-smokers	30.9		427	427						27591263_smoking_during_pregnancy_validation_and_replication
Freeman JR		27602958	2016-10-25	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	External validation	Additional file 1	DNA methylation	Smoking	Age, sex, ethnicity, cell type, EGFR mutation status and KRAS mutation status	M values		Illumina HumanMethylation450	Lung cancer cells and normal cells		106	1	86 smokers, 20 non-smokers	69.5	49	57	106						27602958_smoking_external_validation
Freeman JR		27602958	2016-10-25	Smoking pack-years	EFO_0006526, EFO_0005671, EFO_0004318	Discovery	Additional file 1	DNA methylation	Smoking pack-years	Age, sex, ethnicity, cell type, EGFR mutation status and KRAS mutation status	M values	Pack-years	Illumina HumanMethylation450	Lung adenocarcinoma and lung squamous cell		326	1		67	194	132	260			14		52	27602958_smoking_packyears_discovery
Freeman JR		27602958	2016-10-25	Smoking pack-years	EFO_0006526, EFO_0005671, EFO_0004318	Discovery and replication	Additional file 1	DNA methylation	Smoking pack-years	Age, sex, ethnicity, cell type, EGFR mutation status and KRAS mutation status	M values	Pack-years	Illumina HumanMethylation450	Lung adenocarcinoma and lung squamous cell		511	1		66.8	309	202	403			23		85	27602958_smoking_packyears_discovery_and_replication
Freeman JR		27602958	2016-10-25	Smoking pack-years	EFO_0006526, EFO_0005671, EFO_0004318	Lung adenocarcinoma	Additional file 2	DNA methylation	Smoking pack-years	Age, sex, ethnicity, cell type, EGFR mutation status and KRAS mutation status	M values	Pack-years	Illumina HumanMethylation450	Lung adenocarcinoma		511	1		66.8	309	202	403			23		85	27602958_smoking_packyears_lung_adenocarcinoma
Freeman JR		27602958	2016-10-25	Smoking pack-years	EFO_0006526, EFO_0005671, EFO_0004318	Lung squamous cell	Additional file 3	DNA methylation	Smoking pack-years	Age, sex, ethnicity, cell type, EGFR mutation status and KRAS mutation status	M values	Pack-years	Illumina HumanMethylation450	Lung squamous cell		511	1		66.8	309	202	403			23		85	27602958_smoking_packyears_lung_squamous_cell
Freeman JR		27602958	2016-10-25	Smoking pack-years	EFO_0006526, EFO_0005671, EFO_0004318	Replication	Additional file 1	DNA methylation	Smoking pack-years	Age, sex, ethnicity, cell type, EGFR mutation status and KRAS mutation status	M values	Pack-years	Illumina HumanMethylation450	Lung adenocarcinoma and lung squamous cell		185	1		66.4	115	70	143			9		33	27602958_smoking_packyears_replication
Joehanes R		27651444	2016-10-01	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking	Table S2	DNA methylation	Current versus never smoking	Age, sex, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood, CD4+ T cells or monocytes		9389	16	2433 current smokers, 6956 never smokers	60.3	3331	6058	6750			2639			27651444_smoking_current_vs_never_smoking
Joehanes R		27651444	2016-10-01	Smoking	EFO_0005671, EFO_0004318	Former vs never smoking	Table S5	DNA methylation	Former versus never smoking	Age, sex, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood, CD4+ T cells or monocytes		13474	16	6518 former smokers, 6956 never smokers	62.9	5829	7645	10649			2825			27651444_smoking_former_vs_never_smoking
Zhang X		27672717	2016-08-12	Human immunodeficiency virus	EFO_0000764		Table 1	DNA methylation	Human immunodeficiency virus	Age, smoking, ethnicity, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		378	1	261 HIV-infected, 117 HIV-uninfected	49.2	357	21	248			88		42	27672717_human_immunodeficiency_virus
Bohlin J		27717397	2016-10-07	Gestational age	EFO_0005112	Last menstrual period-estimated gestational age	Table S2	DNA methylation	Gestational age	Offspring sex, maternal age, maternal smoking, study design, caesarean section and cell counts	Beta values	days	Illumina HumanMethylation450	Cord blood		1068	1		0	568	500	1068						27717397_gestational_age_last_menstrual_periodestimated_gestational_age
Bohlin J		27717397	2016-10-07	Gestational age	EFO_0005112	Ultrasound-estimated gestational age	Table S1	DNA methylation	Gestational age	Offspring sex, maternal age, maternal smoking, study design, caesarean section and cell counts	Beta values	days	Illumina HumanMethylation450	Cord blood		1068	1		0	568	500	1068						27717397_gestational_age_ultrasoundestimated_gestational_age
Rounge TB		27762626	2016-11-01	Heavy vs lean weight	EFO_0004340		Table 2	Heavy vs lean weight	DNA methylation	Puberty status and mitochondrial DNAm		Beta values	Bisulfite sequencing	Saliva		100	1	50 heavy individuals, 50 lean individuals			100	100						27762626_heavy_vs_lean_weight
Lai CQ		27777315	2016-12-01	Postprandial lipemia	EFO_0007632	Discovery	Table S2	Postprandial lipemia	DNA methylation	Age, sex, study centre and technical covariates		Beta values	Illumina HumanMethylation450	CD4+ T-cells	Postprandial lipemia measured using the area under the curve	653	1		48	313	340	653						27777315_postprandial_lipemia_discovery
Lai CQ		27777315	2016-12-01	Postprandial lipemia	EFO_0007632	Discovery adjusted for baseline triglycerides	Table S1	Postprandial lipemia	DNA methylation	Age, sex, study centre and technical covariates		Beta values	Illumina HumanMethylation450	CD4+ T-cells	Postprandial lipemia measured using the area under the curve	653	1		48	313	340	653						27777315_postprandial_lipemia_discovery_adjusted_for_baseline_triglycerides
Lai CQ		27777315	2016-12-01	Postprandial lipemia	EFO_0007632	Discovery and replication	Table S2	Postprandial lipemia	DNA methylation	Age, sex, study centre and technical covariates		Beta values	Illumina HumanMethylation450	CD4+ T-cells	Postprandial lipemia measured using the area under the curve	979	1		48.3	469	510	979						27777315_postprandial_lipemia_discovery_and_replication
Lai CQ		27777315	2016-12-01	Postprandial lipemia	EFO_0007632	Discovery and replication adjusted for baseline triglycerides	Table S1	Postprandial lipemia	DNA methylation	Age, sex, study centre and technical covariates		Beta values	Illumina HumanMethylation450	CD4+ T-cells	Postprandial lipemia measured using the area under the curve	979	1		48.3	469	510	979						27777315_postprandial_lipemia_discovery_and_replication_adjusted_for_baseline_triglycerides
Lai CQ		27777315	2016-12-01	Postprandial lipemia	EFO_0007632	Replication	Table S2	Postprandial lipemia	DNA methylation	Age, sex, study centre and technical covariates		Beta values	Illumina HumanMethylation450	CD4+ T-cells	Postprandial lipemia measured using the area under the curve	326	1		48.8	156	170	326						27777315_postprandial_lipemia_replication
Lai CQ		27777315	2016-12-01	Postprandial lipemia	EFO_0007632	Replication adjusted for baseline triglycerides	Table S1	Postprandial lipemia	DNA methylation	Age, sex, study centre and technical covariates		Beta values	Illumina HumanMethylation450	CD4+ T-cells	Postprandial lipemia measured using the area under the curve	326	1		48.8	156	170	326						27777315_postprandial_lipemia_replication_adjusted_for_baseline_triglycerides
Marzi C		27824951	2016-11-08	C-reactive protein	EFO_0004458	EPICOR	Table 1	C-reactive protein	DNA methylation	Age, sex, smoking, body mass index, study centre and technical covariates	mg/l	Beta values	Illumina HumanMethylation450	Peripheral blood		503	1		52.5	312	191	503						27824951_creactive_protein_epicor
Marzi C		27824951	2016-11-08	C-reactive protein	EFO_0004458	KORA F4 discovery	Table SB	C-reactive protein	DNA methylation	Age, sex, smoking, body mass index, fasting status, cell counts and technical covariates	mg/l	Beta values	Illumina HumanMethylation450	Peripheral blood		1741	1		60.9	850	891	1741						27824951_creactive_protein_kora_f4_discovery
Marzi C		27824951	2016-11-08	C-reactive protein	EFO_0004458	LMU cohort	Table 1	C-reactive protein	DNA methylation	Age, sex, smoking, chemotherapy, indication of surgery and technical covariates	mg/l	Beta values	MALDI-TOF mass spectrometry	Liver		286	1		57	150	136	286						27824951_creactive_protein_lmu_cohort
Marzi C		27824951	2016-11-08	C-reactive protein	EFO_0004458	TwinsUK	Table 1	C-reactive protein	DNA methylation	Age, smoking, body mass index and technical covariates	mg/l	Beta values	Illumina HumanMethylation450	Adipose		368	1		60.6		368	368						27824951_creactive_protein_twinsuk
Xu K		27826092	2018-01-01	Body mass index	EFO_0004340		Table 2	DNA methylation	Body mass index	Age, sex, ethnicity, cell counts and technical covariates	Beta values	kg/m2	Illumina HumanMehtylation450	Whole blood		510	1		29	223	287	367			98		45	27826092_body_mass_index
Burri A		27832094	2016-11-10	Chronic widespread musculoskeletal pain		Discordant MZ twins	Table 1	DNA methylation	Chronic widespread musculoskeletal pain	Age and technical covariates	M values		Illumina HumanMethylation450	Peripheral blood		66	1	33 chronic widespread musculoskeletal pain patients, 33 controls	61.8		66	66						27832094_chronic_widespread_musculoskeletal_pain_discordant_mz_twins
Burri A		27832094	2016-11-10	Chronic widespread musculoskeletal pain		Replication	Table 4	DNA methylation	Chronic widespread musculoskeletal pain	Age, sex and technical covariates	Beta values		Illumina HumanMethylation450	Peripheral blood		1485	1		54.1	729	756	1485						27832094_chronic_widespread_musculoskeletal_pain_replication
Burri A		27832094	2016-11-10	Chronic widespread musculoskeletal pain		Unrelated twins	Table 3	DNA methylation	Chronic widespread musculoskeletal pain	Age and technical covariates	M values		Illumina HumanMethylation450	Peripheral blood		281	1	81 chronic widespread musculoskeletal pain patients, 200 controls	62.7		281	281						27832094_chronic_widespread_musculoskeletal_pain_unrelated_twins
Lind L		27839851	2017-01-01	Dichlorodiphenyldichloroethylene	EFO_0007886		Table S2	DNA methylation	Dichlorodiphenyldichloroethylene	Sex, smoking, white blood leukocyte cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		1016	1			506	510	1016						27839851_ppdde
Liu C	CHARGE+	27843151	2016-11-15	Alcohol consumption per day	EFO_0007878, EFO_0004329	African ancestry	Table S6	DNA methylation	Alcohol consumption per day	Age, sex, body mass index, cell counts and technical covariates	Beta values	g per day	Illumina HumanMethylation450	Whole blood		2423	3		56	863	1560				2423			27843151_alcohol_consumption_per_day_african_ancestry
Liu C	CHARGE+	27843151	2016-11-15	Alcohol consumption per day	EFO_0007878, EFO_0004329	CD14+ monocytes	Table S7	DNA methylation	Alcohol consumption per day	Age, sex, body mass index, cell counts and technical covariates	Beta values	g per day	Illumina HumanMethylation450	CD14+ monocytes		1251	1		60	606	645	588			263	400		27843151_alcohol_consumption_per_day_cd14_monocytes
Liu C	CHARGE+	27843151	2016-12-15	Alcohol consumption per day	EFO_0007878, EFO_0004329	European ancestry	Table S5	DNA methylation	Alcohol consumption per day	Age, sex, body mass index, cell counts and technical covariates	Beta values	g der day	Illumina HumanMethylation450	Whole blood		9643	10		64.2	4672	4971	9643						27843151_alcohol_consumption_per_day_european_ancestry
Hedman AK		27884142	2016-11-25	Baseline diene conjugation in low-density lipoproteins	CHEBI_39026, CHEBI_60151		Table S8	Baseline diene conjugation in low-density lipoproteins	DNA methylation	Age, sex, cell counts and technical covariates	umol/l	Beta values	Illumina HumanMethylation450	Whole blood		964	1		70	482	482							27884142_baseline_diene_conjugation_in_lowdensity_lipoproteins
Hedman AK		27884142	2016-11-25	Baseline diene conjugation in low-density lipoproteins	CHEBI_39026, CHEBI_60151	Adjusted for BMI	Table S8	Baseline diene conjugation in low-density lipoproteins	DNA methylation	Age, sex, body mass index, cell counts and technical covariates	umol/l	Beta values	Illumina HumanMethylation450	Whole blood		964	1		70	482	482							27884142_baseline_diene_conjugation_in_lowdensity_lipoproteins_adjusted_for_bmi
Hedman AK		27884142	2016-11-25	Conjugated dienes			Table S7	Conjugated dienes	DNA methylation	Age, sex, cell counts and technical covariates	umol/l	Beta values	Illumina HumanMethylation450	Whole blood		966	1		70	483	483							27884142_conjugated_dienes
Hedman AK		27884142	2016-11-25	Conjugated dienes		Adjusted for BMI	Table S7	Conjugated dienes	DNA methylation	Age, sex, body mass index, cell counts and technical covariates	umol/l	Beta values	Illumina HumanMethylation450	Whole blood		966	1		70	483	483							27884142_conjugated_dienes_adjusted_for_bmi
Hedman AK		27884142	2016-11-25	Homocysteine	CHEBI_17230, EFO_0004578		Table S5	Homocysteine	DNA methylation	Age, sex, cell counts and technical covariates	umol/l	Beta values	Illumina HumanMethylation450	Whole blood		966	1		70	483	483							27884142_homocysteine
Hedman AK		27884142	2016-11-25	Oxidised glutathione	CHEBI_16856		Table S3	Oxidised glutathione	DNA methylation	Age, sex, cell counts and technical covariates	ug/ml	Beta values	Illumina HumanMethylation450	Whole blood		959	1		70	480	479							27884142_oxidised_glutathione
Hedman AK		27884142	2016-11-25	Oxidised low-density lipoprotein	CHEBI_60151		Table S6	Oxidised low-density lipoprotein	DNA methylation	Age, sex, cell counts and technical covariates	u/l	Beta values	Illumina HumanMethylation450	Whole blood		966	1		70	483	483							27884142_oxidised_lowdensity_lipoprotein
Hedman AK		27884142	2016-11-25	Ratio of oxidised glutathione to reduced glutathione	CHEBI_16856		Table S4	Ratio of oxidised glutathione to reduced glutathione	DNA methylation	Age, sex, cell counts and technical covariates		Beta values	Illumina HumanMethylation450	Whole blood		957	1		70	479	478							27884142_ratio_of_oxidised_glutathione_to_reduced_glutathione
Hedman AK		27884142	2016-11-25	Reduced glutathione	CHEBI_16856		Table S2	Reduced glutathione	DNA methylation	Age, sex, cell counts and technical covariates	ug/ml	Beta values	Illumina HumanMethylation450	Whole blood		957	1		70	479	478							27884142_reduced_glutathione
Hedman AK		27884142	2016-11-25	Total glutathione level	CHEBI_16856		Table S1	Total glutathione level	DNA methylation	Age, sex, cell counts and technical covariates	ug/ml	Beta values	Illumina HumanMethylation450	Whole blood		958	1		70	479	479							27884142_total_glutathione_level
Ventham NT		27886173	2016-11-25	Inflammatory bowel disease	EFO_0003767		Table 1	DNA methylation	Inflammatory bowel disease	Age, sex, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		431	1	240 inflammatory bowel disease cases, 191 controls	33	224	207							27886173_inflammatory_bowel_disease
Agha G		27891191	2016-11-16	Birth weight-for-gestational age	EFO_0004344, EFO_0005112		Table 2	DNA methylation	Birth weight-for-gestational age	Offspring sex, maternal age, maternal ethnicity, maternal education, maternal smoking, parity, mode of delivery, pre-pregnancy BMI, gestational diabetes and cell counts	M values		Illumina HumanMethylation450	Cord blood		476	1		0	248	228							27891191_birth_weightforgestational_age
Paul DS		27898055	2016-11-29	Type 1 diabetes	EFO_0001359, EFO_0000400		Main text	Type 1 diabetes	DNA methylation	Technical covariates		Beta values	Illumina HumanMethylation450	CD4+ T-cells from cord blood		104	1											27898055_type_1_diabetes
Cecil CA		27922636	2016-12-06	Substance use	EFO_0004318, EFO_0004329, EFO_0007585	DNA methylation at age 7	Table S6	Substance use	DNA methylation	Sex, cell counts and technical covariates		Beta values	Illumina HumanMethylation450	Whole blood	Association between DNA methylation at age 7 and self-reported substance use recorded at ages 14, 16 and 18	244	1			112	132							27922636_substance_use_dna_methylation_at_age_7
Cecil CA		27922636	2016-12-06	Substance use	EFO_000432, EFO_0007585, EFO_0004318	DNA methylation at birth	Table 1	Substance use	DNA methylation	Sex, cell counts and technical covariates		Beta values	Illumina HumanMethylation450	Cord blood	Association between cord blood DNA methylation and self-reported substance use recorded at ages 14, 16 and 18	244	1			112	132							27922636_substance_use_dna_methylation_at_birth
Ligthart S	CHARGE	27955697	2016-12-12	C-reactive protein	EFO_0004458	Discovery	Table S3	DNA methylation	C-reactive protein	Age, sex, smoking, body mass index, cell counts and technical covariates	Beta values	mg/l	Illumina HumanMethylation450	Whole blood	C-reactive protein levels were log-transformed	8863	9		65	4093	4770	8863						27955697_creactive_protein_discovery
Ligthart S	CHARGE	27955697	2016-12-12	C-reactive protein	EFO_0004458	Replication	Table S3	DNA methylation	C-reactive protein	Age, sex, smoking, body mass index, cell counts and technical covariates	Beta values	mg/l	Illumina HumanMethylation450	Whole blood	C-reactive protein levels were log-transformed	4111	4		59.7						4111			27955697_creactive_protein_replication
Dai L		27982729	2017-01-31	Atmospheric iron concentration	CHEBI_18248, EFO_0008255		Table 3	DNA methylation	Atmospheric iron concentration	Age, body mass index, smoking status, smoking pack-years, alcohol consumption, years of education, year and season, total PM2.5 mass, cell counts and technical covariates	Beta values	ug/m3	Illumina HumanMethylation450	Whole blood		646	1		74	646	0							27982729_atmospheric_iron_concentration
Dai L		27982729	2017-01-31	Atmospheric nickel concentration	EFO_0008255		Table 3	DNA methylation	Atmospheric nickel concentration	Age, body mass index, smoking status, smoking pack-years, alcohol consumption, years of education, year and season, total PM2.5 mass, cell counts and technical covariates	Beta values	ug/m3	Illumina HumanMethylation450	Whole blood		646	1		74	646								27982729_atmospheric_nickel_concentration
Dai L		27982729	2017-01-31	Atmospheric vanadium concentration	EFO_0008255, CHEBI_27698		Table 3	DNA methylation	Atmospheric vanadium concentration	Age, body mass index, smoking status, smoking pack-years, alcohol consumption, years of education, year and season, total PM2.5 mass, cell counts and technical covariates	Beta values	ug/m3	Illumina HumanMethylation450	Whole blood		646	1		74	646								27982729_atmospheric_vanadium_concentration
Roos L		27993549	2016-12-18	Nevus count	EFO_0004632		Table 1	DNA methylation	Nevus count	Age, smoking, body mass index and technical covariates	Beta values		Illumina HumanMethylation450	Skin		322	1		59	0	322	322						27993549_nevus_count
Wahl S		28002404	2017-01-05	Body mass index	EFO_0004340	All ancestry discovery	Table S3	Body mass index	DNA mehtylation	Age, sex, smoking, physical activity index, alcohol consumption, cell counts and technical covariates	kg/m2	Beta values	Illumina HumanMethylation450	Whole blood		5387	4		54.5	3240	2147	2707		2680				28002404_body_mass_index_all_ancestry_discovery
Wahl S		28002404	2017-01-05	Body mass index	EFO_0004340	All ancestry replication	Table S3	Body mass index	DNA methylation	Age, sex, smoking, physical activity index, alcohol consumption, cell counts and technical covariates	kg/m2	Beta values	Illumina HumanMethylation450	Whole blood		4851	9		54.5	1675	3176	4195		656				28002404_body_mass_index_all_ancestry_replication
Wahl S		28002404	2017-01-05	Body mass index	EFO_0004340	Discovery and replication	Table S3	Body mass index	DNA methylation	Age, sex, smoking, physical activity index, alcohol consumption, cell counts and technical covariates	kg/m2	Beta values	Illumina HumanMethylation450	Whole blood	Weighted Z-test meta-analysis	10238	13		54.5	4915	5323	6902		3336				28002404_body_mass_index_discovery_and_replication
Wahl S		28002404	2017-01-05	Body mass index	EFO_0004340	European ancestry discovery	Table S3	Body mass index	DNA methylation	Age, sex, smoking, physical activity index, alcohol consumption, cell counts and technical covariates	kg/m2	Beta values	Illumina HumanMethylation450	Whole blood		2707	3		57.9	1426	1281	2707						28002404_body_mass_index_european_ancestry_discovery
Wahl S		28002404	2017-01-05	Body mass index	EFO_0004340	European ancestry replication	Table S3	Body mass index	DNA methylation	Age, sex, smoking, physical activity index, alcohol consumption, cell counts and technical covariates	kg/m2	Beta values	Illumina HumanMethylation450	Whole blood		4195	8		54.6	1394	2801	4195						28002404_body_mass_index_european_ancestry_replication
Wahl S		28002404	2017-01-05	Body mass index	EFO_0004340	South Asian ancestry discovery	Table S3	Body mass index	DNA methylation	Age, sex, smoking, physical activity index, alcohol consumption, cell counts and technical covariates	kg/m2	Beta values	Illumina HumanMethylation450	Whole blood		2680	1		51.0	1814	866			2680				28002404_body_mass_index_south_asian_ancestry_discovery
Wahl S		28002404	2017-01-05	Body mass index	EFO_0004340	South Asian ancestry replication	Table S3	Body mass index	DNA methylation	Age, sex, smoking, physical activity index, alcohol consumption, cell counts and technical covariates	kg/m2	Beta values	Illumina HumanMethylation450	Whole blood		656	1		53.8	281	375			656				28002404_body_mass_index_south_asian_ancestry_replication
Casey KF		28032437	2016-12-29	Birth weight	EFO_0004344		Table 2	DNA methylation	Birth weight	Sex, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Saliva		104	1		16	44	60							28032437_birth_weight
Casey KF		28032437	2016-12-29	Cortical surface area	EFO_0008381		Table 2	DNA methylation	Cortical surface area	Sex, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Saliva		104	1		16	44	60							28032437_cortical_surface_area
Casey KF		28032437	2016-12-29	Cortical thickness	EFO_0004840		Table 2	DNA methylation	Cortical thickness	Sex, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Saliva		104	1		16	44	60							28032437_cortical_thickness
Casey KF		28032437	2016-12-29	Cortical volume			Table 2	DNA methylation	Cortical volume	Sex, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Saliva		104	1		16	44	60							28032437_cortical_volume
Xu CJ		28056824	2017-01-05	Age 4 vs age 0	EFO_0000246		Additional file 3	DNA methylation	Age 4 vs age 0	Sex, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood and cord blood		269	2			141	128	269						28056824_age_4_vs_age_0
Sayols-Baixeras S		28062490	2017-01-05	High-density lipoprotein cholesterol efflux capacity	CHEBI_47775		Table 1	High-density lipoprotein cholesterol efflux capacity	DNA methylation	Age, sex, smoking, cell counts and technical covariates		M values	Illumina HumanMethylation450	Whole blood		645	1		63	316	329							28062490_highdensity_lipoprotein_cholesterol_efflux_capacity
Sayols-Baixeras S		28062490	2017-01-05	High-density lipoprotein cholesterol efflux capacity	CHEBI_47775	Adjusted for HDL cholesterol levels	Table 1	High-density lipoprotein cholesterol efflux capacity	DNA methylation	Age, sex, smoking, high-density lipoprotein cholesterol, cell counts and technical covariates and high-density lipoprotein cholesterol levels		M values	Illumina HumanMethylation450	Whole blood		645	1		63	316	329							28062490_highdensity_lipoprotein_cholesterol_efflux_capacity_adjusted_for_hdl_cholesterol_levels
Sayols-Baixeras S		28062490	2017-01-05	High-density lipoprotein inflammatory index	CHEBI_47775		Table 1	High-density lipoprotein inflammatory index	DNA methylation	Age, sex, smoking, cell counts and technical covariates		M values	Illumina HumanMethylation450	Whole blood		645	1		63	316	329							28062490_highdensity_lipoprotein_inflammatory_index
Sayols-Baixeras S		28062490	2017-01-05	High-density lipoprotein inflammatory index	CHEBI_47775	Adjusted for HDL cholesterol levels	Table 1	High-density lipoprotein inflammatory index	DNA methylation	Age, sex, smoking, high-density lipoprotein cholesterol, cell counts and technical covariates and high-density lipoprotein cholesterol levels		M values	Illumina HumanMethylation450	Whole blood		645	1		63	316	329							28062490_highdensity_lipoprotein_inflammatory_index_adjusted_for_hdl_cholesterol_levels
Lin H		28067321	2017-01-09	Atrial fibrillation	EFO_0000275		Table S2	DNA methylation	Atrial fibrillation	Age, sex and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		2639	1	403 cases, 2236 controls	66	1200	1439							28067321_atrial_fibrillation
Lin H		28067321	2017-01-09	Incident atrial fibrillation	EFO_0000275		Table 2	Incident atrial fibrillation	DNA methylation	Age, sex and technical covariates		Beta values	Illumina HumanMethylation450	Whole blood	Regression coefficients are log-hazard ratios	2456	1	220 cases, 2236 controls	66	1082	1374							28067321_incident_atrial_fibrillation
Lin H		28067321	2017-01-09	Incident atrial fibrillation	EFO_0000275	Cell count adjusted model	Table S1	Incident atrial fibrillation	DNA methylation	Age, sex, cell counts and technical covariates		Beta values	Illumina HumanMethylation450	Whole blood	Regression coefficients are log-hazard ratios	2456	1	220	2236	131	89							28067321_incident_atrial_fibrillation_cellcount_adjusted_model
Lin H		28067321	2017-01-09	Incident atrial fibrillation	EFO_0000275	Multivariable adjusted model	Table S1	Incident atrial fibrillation	DNA methylation	Age, sex, smoking, height, weight, systolic blood pressure, diastolic blood pressure, prevalent diabetes, prevalent myocardial infarction, prevalent heart failure, antihypertensive treatment and technical covariates		Beta values	Illumina HumanMethylation450	Whole blood	Regression coefficients are log-hazard ratios	2456	1	220 cases, 2236 controls	66	1082	1374							28067321_incident_atrial_fibrillation_multivariable_adjusted_model
Lin H		28067321	2017-01-09	Prevalent atrial fibrillation	EFO_0000275		Table 2	DNA methylation	Prevalent atrial fibrillation	Age, sex and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		2639	1	183 cases, 2456 controls	66	1200	1439							28067321_prevalent_atrial_fibrillation
Lin H		28067321	2017-01-09	Prevalent atrial fibrillation	EFO_0000275	Cell count adjusted model	Table S1	DNA methylation	Prevalent atrial fibrillation	Age, sex, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		2639	1	183 cases, 2456 controls	66	1200	1439							28067321_prevalent_atrial_fibrillation_cellcount_adjusted_model
Lin H		28067321	2017-01-09	Prevalent atrial fibrillation	EFO_0000275	Multivariable adjusted model	Table S1	DNA methylation	Prevalent atrial fibrillation	Age, sex, smoking, height, weight, systolic blood pressure, diastolic blood pressure, prevalent diabetes, prevalent myocardial infarction, prevalent heart failure, antihypertensive treatment and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		2639	1	183 cases, 2456 controls	66	1200	1439							28067321_prevalent_atrial_fibrillation_multivariable_adjusted_model
Chen W		28069425	2017-01-06	Total serum IgE	EFO_0004579	Discovery	Table S3, Table S4	Total serum IgE	DNA methylation	Age, sex, asthma and technical covariates	IU/ml	Beta values	Illumina HumanMethylation450	Whole blood	Total serum IgE was log10 transformed	879	2		12	437	442	496			174		209	28069425_total_serum_ige_discovery
Chen W		28069425	2017-01-06	Total serum IgE	EFO_0004579	Discovery adjusted for cell counts	Table S5	Total serum IgE	DNA methylation	Age, sex, asthma, cell counts and technical covariates	IU/ml	Beta values	Illumina HumanMethylation450	Whole blood	Total serum IgE was log10 transformed	879	2		12	437	442	496			174		209	28069425_total_serum_ige_discovery_adjusted_for_cell_counts
Chen W		28069425	2017-01-06	Total serum IgE	EFO_0004579	Puerto Ricans only	Table E7	Total serum IgE	DNA methylation	Age, sex, asthma and technical covariates	IU/ml	Beta values	Illumina HumanMethylation450	Whole blood	Total serum IgE was log10 transformed	525	2		12	275	250	309			114		102	28069425_total_serum_ige_puerto_ricans_only
Chen W		28069425	2017-01-06	Total serum IgE	EFO_0004579	Puerto Ricans only adjusted for cell counts	Table E8	Total serum IgE	DNA methylation	Age, sex, asthma, cell counts and technical covariates	IU/ml	Beta values	Illumina HumanMethylation450	Whole blood	Total serum IgE was log10 transformed	525	2		12	275	250	309			114		102	28069425_total_serum_ige_puerto_ricans_only_adjusted_for_cell_counts
Mok A		28074145	2016-12-07	Lupus nephritis vs lupus without nephritis	EFO_0005761	Discovery	Table 2	DNA methylation	Lupus nephritis vs lupus without nephritis	Disease duration and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		322	1	80 cases, 242 controls	45.5	0	322	322						28074145_lupus_nephritis_vs_lupus_without_nephritis_discovery
Mok A		28074145	2016-12-07	Lupus nephritis vs lupus without nephritis	EFO_0005761	Replication	Table 2	DNA methylation	Lupus nephritis vs lupus without nephritis	Disease duration and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		56	1	28 cases, 28 controls	40.4	0	56	34			22			28074145_lupus_nephritis_vs_lupus_without_nephritis_replication
Mendelson MM		28095459	2017-01-17	Body mass index	EFO_0004340	Framingham Heart Study Batch 1	Table S1	DNA methylation	Body mass index	Age, sex and technical covariates		kg/m2	Illumina HumanMethylation450	Whole blood	DNA methylation was inverse normally rank transformed	442	1		67	199	243	442						28095459_body_mass_index_framingham_heart_study_batch_1
Mendelson MM		28095459	2017-01-17	Body mass index	EFO_0004340	Framingham Heart Study Batch 2	Table S1	DNA methylation	Body mass index	Age, sex and technical covariates		kg/m2	Illumina HumanMethylation450	Whole blood	DNA methylation was inverse normally rank transformed	1935	1		67	871	1064	1935						28095459_body_mass_index_framingham_heart_study_batch_2
